,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1177,Hauts-de-France,2020-03-05,-7.7,1.0,-21.0,-6.3,-1.0,2.2
1178,Hauts-de-France,2020-03-06,-1.7,2.7,10.0,2.7,0.2,1.3
1179,Hauts-de-France,2020-03-07,-4.5,0.0,18.5,-0.2,1.2,1.0
1180,Hauts-de-France,2020-03-08,-2.8,-0.7,-19.7,-8.5,-1.3,1.8
1181,Hauts-de-France,2020-03-09,-2.3,2.3,11.5,-5.8,-3.5,2.3
1182,Hauts-de-France,2020-03-10,-6.2,1.0,-6.3,-8.3,-4.0,3.0
1183,Hauts-de-France,2020-03-11,-7.8,-0.8,-1.8,-8.7,-3.5,2.2
1184,Hauts-de-France,2020-03-12,-8.3,2.5,4.7,-8.3,-4.2,2.3
1185,Hauts-de-France,2020-03-13,-8.7,13.8,13.0,-6.5,-4.7,3.2
1186,Hauts-de-France,2020-03-14,-21.7,-4.2,-15.5,-19.0,-5.7,4.7
1187,Hauts-de-France,2020-03-15,-37.8,18.2,29.2,-25.0,-5.8,3.2
1188,Hauts-de-France,2020-03-16,-41.5,47.5,0.3,-37.0,-33.0,11.0
1189,Hauts-de-France,2020-03-17,-68.2,-18.5,-29.3,-54.8,-51.3,20.8
1190,Hauts-de-France,2020-03-18,-83.0,-48.3,-47.3,-72.7,-63.3,25.3
1191,Hauts-de-France,2020-03-19,-83.0,-43.7,-55.7,-76.2,-67.3,29.0
1192,Hauts-de-France,2020-03-20,-84.5,-45.8,-68.0,-80.2,-68.3,33.3
1193,Hauts-de-France,2020-03-21,-89.0,-57.3,-78.5,-80.3,-57.5,23.3
1194,Hauts-de-France,2020-03-22,-86.2,-63.3,-78.0,-83.7,-53.5,16.2
1195,Hauts-de-France,2020-03-23,-81.2,-42.0,-61.3,-80.5,-70.0,28.8
1196,Hauts-de-France,2020-03-24,-82.8,-45.8,-61.5,-79.7,-71.2,30.7
1197,Hauts-de-France,2020-03-25,-84.5,-50.2,-63.0,-79.5,-70.0,28.2
1198,Hauts-de-France,2020-03-26,-83.2,-47.2,-63.8,-80.7,-71.5,30.8
1199,Hauts-de-France,2020-03-27,-83.8,-47.0,-64.8,-83.0,-70.8,34.2
1200,Hauts-de-France,2020-03-28,-88.0,-57.8,-77.2,-83.3,-57.3,23.3
1201,Hauts-de-France,2020-03-29,-87.8,-73.2,-82.7,-87.7,-55.7,16.5
1202,Hauts-de-France,2020-03-30,-83.2,-47.3,-61.8,-82.3,-70.8,29.5
1203,Hauts-de-France,2020-03-31,-90.2,-43.7,-59.0,-81.0,-71.0,30.3
1204,Hauts-de-France,2020-04-01,-90.8,-44.8,-58.0,-80.2,-68.7,27.3
1205,Hauts-de-France,2020-04-02,-90.0,-41.7,-62.5,-80.8,-70.3,30.3
1206,Hauts-de-France,2020-04-03,-84.0,-41.2,-63.5,-80.5,-69.5,33.5
1207,Hauts-de-France,2020-04-04,-87.0,-47.8,-71.8,-78.7,-54.8,22.5
1208,Hauts-de-France,2020-04-05,-83.5,-57.7,-67.7,-82.8,-49.7,15.3
1209,Hauts-de-France,2020-04-06,-80.8,-40.3,-59.3,-80.2,-69.2,28.8
1210,Hauts-de-France,2020-04-07,-80.8,-37.3,-54.7,-77.8,-69.0,29.3
1211,Hauts-de-France,2020-04-08,-82.8,-39.5,-56.5,-78.0,-66.8,26.0
1212,Hauts-de-France,2020-04-09,-81.3,-34.7,-57.7,-78.5,-68.2,28.5
1213,Hauts-de-France,2020-04-10,-81.0,-33.7,-57.7,-79.2,-67.7,31.8
1214,Hauts-de-France,2020-04-11,-84.8,-43.0,-70.7,-78.0,-52.2,21.3
1215,Hauts-de-France,2020-04-12,-81.0,-55.3,-72.0,-83.5,-46.7,14.8
1216,Hauts-de-France,2020-04-13,-90.8,-83.0,-68.8,-89.7,-88.2,35.7
1217,Hauts-de-France,2020-04-14,-77.2,-24.8,-55.0,-76.8,-67.7,28.0
1218,Hauts-de-France,2020-04-15,-80.3,-34.7,-52.8,-75.7,-65.2,25.7
1219,Hauts-de-France,2020-04-16,-79.3,-33.7,-52.2,-76.8,-66.8,28.0
1220,Hauts-de-France,2020-04-17,-80.2,-36.5,-56.7,-78.8,-66.2,31.3
1221,Hauts-de-France,2020-04-18,-85.5,-48.8,-74.5,-78.5,-51.0,22.0
1222,Hauts-de-France,2020-04-19,-82.5,-57.8,-67.5,-81.8,-44.2,14.8
1223,Hauts-de-France,2020-04-20,-77.0,-36.5,-48.3,-77.2,-65.7,26.8
1224,Hauts-de-France,2020-04-21,-76.7,-34.5,-45.8,-75.3,-64.8,27.3
1225,Hauts-de-France,2020-04-22,-78.7,-36.3,-46.5,-74.8,-62.2,24.3
1226,Hauts-de-France,2020-04-23,-77.5,-32.3,-47.2,-75.5,-64.0,26.5
1227,Hauts-de-France,2020-04-24,-78.0,-34.0,-50.8,-77.3,-63.7,30.0
1228,Hauts-de-France,2020-04-25,-82.7,-43.7,-66.0,-76.0,-46.0,20.3
1229,Hauts-de-France,2020-04-26,-80.0,-51.5,-60.0,-78.5,-38.7,13.8
1230,Hauts-de-France,2020-04-27,-73.3,-34.2,-42.3,-74.7,-61.0,24.8
1231,Hauts-de-France,2020-04-28,-74.5,-33.3,-56.8,-74.7,-61.3,26.2
1232,Hauts-de-France,2020-04-29,-75.5,-30.7,-58.7,-73.8,-58.2,23.2
1233,Hauts-de-France,2020-04-30,-69.2,-12.5,-58.5,-74.3,-60.2,24.0
1234,Hauts-de-France,2020-05-01,-91.5,-89.7,-67.7,-89.0,-86.5,39.3
1235,Hauts-de-France,2020-05-02,-76.3,-26.5,-64.8,-72.5,-42.5,19.2
1236,Hauts-de-France,2020-05-03,-79.8,-51.2,-67.5,-80.3,-35.7,14.0
1237,Hauts-de-France,2020-05-04,-66.8,-21.3,-42.2,-72.3,-56.5,23.2
1238,Hauts-de-France,2020-05-05,-66.2,-18.8,-45.2,-69.3,-56.3,24.0
1239,Hauts-de-France,2020-05-06,-68.2,-20.3,-35.5,-67.8,-52.5,20.7
1240,Hauts-de-France,2020-05-07,-64.3,-9.2,-42.5,-69.5,-54.8,21.8
1241,Hauts-de-France,2020-05-08,-81.7,-55.0,-47.7,-82.8,-79.7,35.0
1242,Hauts-de-France,2020-05-09,-74.2,-26.7,-59.7,-68.7,-34.7,17.5
1243,Hauts-de-France,2020-05-10,-76.3,-44.5,-71.8,-77.0,-28.7,13.2
1244,Hauts-de-France,2020-05-11,-34.8,-4.8,-15.5,-55.2,-43.3,15.5
1245,Hauts-de-France,2020-05-12,-36.5,-3.0,0.3,-51.7,-42.7,16.0
1246,Hauts-de-France,2020-05-13,-41.5,-7.0,-9.5,-51.5,-40.5,13.5
1247,Hauts-de-France,2020-05-14,-40.0,-4.0,-8.7,-53.5,-42.3,15.7
1248,Hauts-de-France,2020-05-15,-41.8,-5.7,3.7,-53.0,-41.3,17.3
1249,Hauts-de-France,2020-05-16,-45.5,-9.8,3.5,-44.8,-14.3,7.8
1250,Hauts-de-France,2020-05-17,-48.0,-7.3,41.3,-52.8,-1.5,3.8
1251,Hauts-de-France,2020-05-18,-27.8,-1.5,27.8,-50.0,-40.5,14.5
1252,Hauts-de-France,2020-05-19,-31.8,1.2,38.5,-47.8,-39.8,14.3
1253,Hauts-de-France,2020-05-20,-27.8,12.2,56.8,-44.5,-37.7,9.7
1254,Hauts-de-France,2020-05-21,-48.5,-31.5,117.5,-65.3,-75.7,21.0
1255,Hauts-de-France,2020-05-22,-32.3,1.2,16.3,-56.5,-54.2,19.8
1256,Hauts-de-France,2020-05-23,-42.0,-12.5,0.7,-46.7,-11.8,8.5
1257,Hauts-de-France,2020-05-24,-45.8,-13.8,33.2,-50.0,2.2,4.0
1258,Hauts-de-France,2020-05-25,-25.8,-6.0,46.3,-46.3,-38.8,13.2
1259,Hauts-de-France,2020-05-26,-29.2,-1.2,59.2,-44.7,-35.5,13.2
1260,Hauts-de-France,2020-05-27,-30.2,-0.2,59.2,-43.2,-33.7,10.5
1261,Hauts-de-France,2020-05-28,-29.7,2.3,42.2,-44.5,-35.8,12.7
1262,Hauts-de-France,2020-05-29,-30.7,2.3,53.2,-43.8,-34.5,13.7
1263,Hauts-de-France,2020-05-30,-33.7,1.5,63.5,-34.8,-1.2,4.5
1264,Hauts-de-France,2020-05-31,-31.2,19.2,128.7,-45.3,13.7,0.8
1265,Hauts-de-France,2020-06-01,-30.3,-28.5,175.5,-59.8,-69.5,18.7
1266,Hauts-de-France,2020-06-02,-17.0,9.2,92.2,-32.5,-30.0,9.3
1267,Hauts-de-France,2020-06-03,-19.7,4.7,62.2,-34.8,-28.3,8.5
1268,Hauts-de-France,2020-06-04,-21.7,1.7,1.7,-38.5,-30.7,10.7
1269,Hauts-de-France,2020-06-05,-19.3,1.7,5.3,-37.7,-29.3,11.8
1270,Hauts-de-France,2020-06-06,-15.7,5.7,14.0,-27.0,1.2,4.2
1271,Hauts-de-France,2020-06-07,-7.3,14.2,47.5,-31.8,31.0,-1.0
1272,Hauts-de-France,2020-06-08,-13.5,-5.5,9.3,-38.5,-30.8,10.5
1273,Hauts-de-France,2020-06-09,-15.2,-2.3,45.5,-35.0,-29.2,9.7
1274,Hauts-de-France,2020-06-10,-17.7,-3.7,59.0,-32.7,-27.2,7.8
1275,Hauts-de-France,2020-06-11,-18.2,-2.7,28.7,-35.7,-29.3,9.7
1276,Hauts-de-France,2020-06-12,-19.7,-4.2,35.3,-33.7,-28.7,10.7
1277,Hauts-de-France,2020-06-13,-20.2,-5.5,101.7,-21.3,5.2,2.7
1278,Hauts-de-France,2020-06-14,-15.0,6.8,136.0,-25.3,21.0,0.2
1279,Hauts-de-France,2020-06-15,-9.3,-3.3,81.5,-29.2,-28.2,8.2
1280,Hauts-de-France,2020-06-16,-11.8,-0.8,70.3,-27.5,-26.5,8.7
1281,Hauts-de-France,2020-06-17,-17.2,-4.7,41.2,-30.2,-26.2,7.7
1282,Hauts-de-France,2020-06-18,-13.3,-2.7,44.3,-30.5,-28.0,8.2
1283,Hauts-de-France,2020-06-19,-13.0,-2.3,71.7,-26.3,-26.8,8.5
1284,Hauts-de-France,2020-06-20,-15.2,-3.5,107.3,-12.2,4.8,1.2
1285,Hauts-de-France,2020-06-21,-5.2,9.3,78.5,-19.3,27.7,-1.3
1286,Hauts-de-France,2020-06-22,-6.8,-2.2,113.3,-25.3,-29.0,6.7
1287,Hauts-de-France,2020-06-23,-9.0,1.3,137.2,-23.5,-27.2,6.3
1288,Hauts-de-France,2020-06-24,-14.5,-2.5,155.0,-22.0,-24.2,5.2
1289,Hauts-de-France,2020-06-25,-13.7,0.7,127.0,-22.7,-25.2,5.8
1290,Hauts-de-France,2020-06-26,-14.7,-2.3,88.2,-20.3,-25.3,7.2
1291,Hauts-de-France,2020-06-27,-16.2,-5.8,69.8,-10.7,-0.3,1.8
1292,Hauts-de-France,2020-06-28,-4.5,7.0,119.5,-10.8,18.8,-1.0
1293,Hauts-de-France,2020-06-29,-2.7,0.0,73.0,-23.5,-25.7,6.5
1294,Hauts-de-France,2020-06-30,-5.0,1.0,53.7,-24.7,-24.5,6.8
1295,Hauts-de-France,2020-07-01,-8.2,-1.2,57.0,-23.7,-24.3,5.2
1296,Hauts-de-France,2020-07-02,-4.7,3.7,65.5,-22.2,-24.8,5.5
1297,Hauts-de-France,2020-07-03,-7.7,-2.0,95.3,-15.8,-24.2,6.0
1298,Hauts-de-France,2020-07-04,-14.7,-6.3,56.0,-2.0,-1.5,0.8
1299,Hauts-de-France,2020-07-05,-5.7,2.2,86.0,-6.8,10.5,-0.2
1300,Hauts-de-France,2020-07-06,4.3,4.5,123.8,-20.2,-31.7,6.3
1301,Hauts-de-France,2020-07-07,2.8,5.0,155.7,-16.8,-30.7,5.5
1302,Hauts-de-France,2020-07-08,-7.2,-2.0,82.8,-20.5,-26.5,4.3
1303,Hauts-de-France,2020-07-09,-6.0,0.2,111.2,-18.8,-29.8,5.7
1304,Hauts-de-France,2020-07-10,-9.7,-3.7,111.8,-11.3,-30.5,6.2
1305,Hauts-de-France,2020-07-11,-15.7,-6.8,157.5,23.7,-2.8,-1.7
1306,Hauts-de-France,2020-07-12,10.2,18.3,253.0,9.5,11.5,-3.3
1307,Hauts-de-France,2020-07-13,18.0,19.5,199.2,-22.3,-50.8,6.7
1308,Hauts-de-France,2020-07-14,-30.8,-44.0,181.8,-41.0,-75.7,18.3
1309,Hauts-de-France,2020-07-15,-3.5,6.2,120.8,-14.2,-29.7,3.5
1310,Hauts-de-France,2020-07-16,-4.5,2.2,101.8,-18.7,-33.5,6.5
1311,Hauts-de-France,2020-07-17,-11.7,-5.7,160.2,-10.0,-31.8,6.3
1312,Hauts-de-France,2020-07-18,-18.8,-10.0,158.3,27.8,-2.5,-1.2
1313,Hauts-de-France,2020-07-19,2.7,10.8,188.5,13.5,13.5,-2.7
1314,Hauts-de-France,2020-07-20,2.0,3.7,208.3,-15.2,-34.0,6.2
1315,Hauts-de-France,2020-07-21,-2.0,1.2,225.3,-15.8,-33.3,6.2
1316,Hauts-de-France,2020-07-22,-9.5,-4.0,209.3,-14.3,-29.0,3.8
1317,Hauts-de-France,2020-07-23,-9.7,-3.2,173.2,-16.7,-33.3,6.0
1318,Hauts-de-France,2020-07-24,-14.3,-6.7,138.3,-12.2,-33.0,7.3
1319,Hauts-de-France,2020-07-25,-21.2,-12.2,86.3,19.3,-7.2,0.7
1320,Hauts-de-France,2020-07-26,-4.0,5.7,158.3,11.2,9.8,-1.2
1321,Hauts-de-France,2020-07-27,-1.3,0.7,180.3,-18.5,-38.5,7.2
1322,Hauts-de-France,2020-07-28,-4.2,1.0,179.7,-18.2,-36.7,7.5
1323,Hauts-de-France,2020-07-29,-7.5,-1.0,208.7,-14.5,-33.0,4.2
1324,Hauts-de-France,2020-07-30,-6.7,3.0,207.0,-13.5,-37.7,5.7
1325,Hauts-de-France,2020-07-31,-20.7,-8.8,178.8,-9.5,-39.0,7.3
1326,Hauts-de-France,2020-08-01,-21.3,-9.5,153.3,27.8,-10.5,-1.0
1327,Hauts-de-France,2020-08-02,0.0,13.5,203.8,18.8,5.3,-3.0
1328,Hauts-de-France,2020-08-03,4.0,5.2,174.7,-18.0,-46.5,8.2
1329,Hauts-de-France,2020-08-04,0.8,4.2,236.3,-16.8,-45.7,7.5
1330,Hauts-de-France,2020-08-05,-4.5,1.3,252.3,-14.3,-42.0,4.8
1331,Hauts-de-France,2020-08-06,-6.5,2.7,233.7,-15.7,-45.7,6.8
1332,Hauts-de-France,2020-08-07,-18.2,-7.0,220.7,-11.2,-46.3,8.2
1333,Hauts-de-France,2020-08-08,-27.2,-14.2,178.3,26.3,-16.7,-0.7
1334,Hauts-de-France,2020-08-09,-5.0,15.0,201.7,20.3,-0.7,-2.5
1335,Hauts-de-France,2020-08-10,1.2,5.0,244.7,-17.0,-51.5,8.3
1336,Hauts-de-France,2020-08-11,-7.5,-0.5,246.7,-21.3,-51.2,9.2
1337,Hauts-de-France,2020-08-12,-15.5,-4.3,210.7,-20.7,-47.0,7.0
1338,Hauts-de-France,2020-08-13,-11.0,-1.3,169.5,-21.5,-50.2,8.8
1339,Hauts-de-France,2020-08-14,-15.5,-5.7,146.8,-12.5,-50.0,9.7
1340,Hauts-de-France,2020-08-15,-31.7,-28.8,156.5,13.8,-28.3,0.8
1341,Hauts-de-France,2020-08-16,-4.5,8.3,137.8,12.7,0.2,-1.7
1342,Hauts-de-France,2020-08-17,2.0,6.0,184.3,-18.3,-49.2,8.2
1343,Hauts-de-France,2020-08-18,1.2,4.2,229.8,-17.5,-45.8,8.0
1344,Hauts-de-France,2020-08-19,-6.5,-0.7,138.5,-18.7,-43.3,6.3
1345,Hauts-de-France,2020-08-20,-5.5,-1.3,216.3,-17.3,-46.7,7.3
1346,Hauts-de-France,2020-08-21,-13.2,-5.7,200.0,-12.2,-45.5,8.5
1347,Hauts-de-France,2020-08-22,-19.8,-13.2,127.7,17.7,-14.2,-0.3
1348,Hauts-de-France,2020-08-23,0.2,8.2,128.2,10.8,3.0,-2.0
1349,Hauts-de-France,2020-08-24,2.8,2.8,148.0,-17.0,-40.2,7.3
1350,Hauts-de-France,2020-08-25,0.0,2.8,128.3,-16.0,-39.0,7.5
1351,National,2020-02-15,-2.0,-1.0,23.0,12.0,-2.0,-1.0
1352,National,2020-02-16,6.0,2.0,9.0,7.0,-1.0,-1.0
1353,National,2020-02-17,1.0,2.0,16.0,-6.0,-15.0,4.0
1354,National,2020-02-18,5.0,2.0,36.0,-4.0,-14.0,3.0
1355,National,2020-02-19,-4.0,-3.0,18.0,-6.0,-12.0,2.0
1356,National,2020-02-20,-2.0,-1.0,29.0,-4.0,-15.0,3.0
1357,National,2020-02-21,-1.0,-2.0,28.0,0.0,-15.0,3.0
1358,National,2020-02-22,-6.0,-2.0,31.0,14.0,-5.0,-1.0
1359,National,2020-02-23,8.0,7.0,30.0,12.0,-1.0,-1.0
1360,National,2020-02-24,3.0,3.0,45.0,-1.0,-15.0,3.0
1361,National,2020-02-25,1.0,1.0,23.0,-3.0,-14.0,4.0
1362,National,2020-02-26,-5.0,-2.0,9.0,-5.0,-12.0,3.0
1363,National,2020-02-27,-5.0,-1.0,1.0,-5.0,-15.0,4.0
1364,National,2020-02-28,-1.0,1.0,15.0,0.0,-15.0,4.0
1365,National,2020-02-29,-7.0,1.0,-12.0,4.0,-5.0,1.0
1366,National,2020-03-01,1.0,4.0,-13.0,2.0,1.0,0.0
1367,National,2020-03-02,-6.0,3.0,-9.0,-4.0,-5.0,3.0
1368,National,2020-03-03,-1.0,5.0,8.0,-4.0,-4.0,2.0
1369,National,2020-03-04,-6.0,2.0,1.0,-6.0,-3.0,2.0
1370,National,2020-03-05,-8.0,0.0,-15.0,-6.0,-5.0,3.0
1371,National,2020-03-06,-2.0,2.0,-1.0,-1.0,-4.0,3.0
1372,National,2020-03-07,-4.0,1.0,7.0,1.0,0.0,1.0
1373,National,2020-03-08,0.0,2.0,-1.0,-2.0,-1.0,1.0
1374,National,2020-03-09,-5.0,2.0,2.0,-5.0,-1.0,2.0
1375,National,2020-03-10,-5.0,1.0,1.0,-6.0,-1.0,2.0
1376,National,2020-03-11,-6.0,2.0,17.0,-5.0,0.0,1.0
1377,National,2020-03-12,-8.0,5.0,5.0,-7.0,-1.0,1.0
1378,National,2020-03-13,-8.0,17.0,4.0,-8.0,-2.0,3.0
1379,National,2020-03-14,-21.0,1.0,-1.0,-16.0,-5.0,5.0
1380,National,2020-03-15,-38.0,23.0,15.0,-21.0,-9.0,3.0
1381,National,2020-03-16,-43.0,46.0,-15.0,-39.0,-36.0,13.0
1382,National,2020-03-17,-68.0,-15.0,-40.0,-61.0,-55.0,24.0
1383,National,2020-03-18,-83.0,-45.0,-53.0,-76.0,-67.0,29.0
1384,National,2020-03-19,-82.0,-41.0,-56.0,-78.0,-71.0,32.0
1385,National,2020-03-20,-83.0,-42.0,-66.0,-80.0,-71.0,36.0
1386,National,2020-03-21,-88.0,-54.0,-78.0,-82.0,-58.0,24.0
1387,National,2020-03-22,-86.0,-64.0,-80.0,-84.0,-55.0,18.0
1388,National,2020-03-23,-81.0,-41.0,-64.0,-82.0,-73.0,32.0
1389,National,2020-03-24,-83.0,-45.0,-65.0,-82.0,-74.0,34.0
1390,National,2020-03-25,-84.0,-48.0,-67.0,-83.0,-73.0,32.0
1391,National,2020-03-26,-84.0,-46.0,-67.0,-83.0,-74.0,34.0
1392,National,2020-03-27,-84.0,-46.0,-68.0,-84.0,-73.0,37.0
1393,National,2020-03-28,-87.0,-56.0,-76.0,-83.0,-59.0,25.0
1394,National,2020-03-29,-88.0,-72.0,-82.0,-87.0,-56.0,18.0
1395,National,2020-03-30,-84.0,-47.0,-66.0,-83.0,-74.0,33.0
1396,National,2020-03-31,-90.0,-38.0,-61.0,-82.0,-74.0,33.0
1397,National,2020-04-01,-90.0,-39.0,-62.0,-81.0,-71.0,31.0
1398,National,2020-04-02,-90.0,-36.0,-62.0,-82.0,-73.0,33.0
1399,National,2020-04-03,-86.0,-38.0,-66.0,-82.0,-72.0,37.0
1400,National,2020-04-04,-88.0,-45.0,-73.0,-80.0,-57.0,24.0
1401,National,2020-04-05,-85.0,-62.0,-73.0,-82.0,-53.0,17.0
1402,National,2020-04-06,-83.0,-37.0,-61.0,-81.0,-72.0,31.0
1403,National,2020-04-07,-82.0,-35.0,-61.0,-80.0,-72.0,32.0
1404,National,2020-04-08,-84.0,-37.0,-63.0,-80.0,-70.0,30.0
1405,National,2020-04-09,-83.0,-32.0,-61.0,-80.0,-71.0,32.0
1406,National,2020-04-10,-83.0,-34.0,-64.0,-81.0,-71.0,36.0
1407,National,2020-04-11,-86.0,-39.0,-74.0,-79.0,-55.0,23.0
1408,National,2020-04-12,-83.0,-58.0,-76.0,-82.0,-50.0,17.0
1409,National,2020-04-13,-91.0,-80.0,-68.0,-88.0,-89.0,38.0
1410,National,2020-04-14,-79.0,-22.0,-59.0,-78.0,-70.0,31.0
1411,National,2020-04-15,-82.0,-32.0,-59.0,-78.0,-68.0,29.0
1412,National,2020-04-16,-81.0,-31.0,-58.0,-78.0,-69.0,31.0
1413,National,2020-04-17,-81.0,-33.0,-62.0,-79.0,-68.0,35.0
1414,National,2020-04-18,-86.0,-46.0,-73.0,-78.0,-52.0,23.0
1415,National,2020-04-19,-85.0,-65.0,-77.0,-81.0,-49.0,17.0
1416,National,2020-04-20,-79.0,-40.0,-61.0,-78.0,-68.0,30.0
1417,National,2020-04-21,-79.0,-37.0,-59.0,-77.0,-68.0,31.0
1418,National,2020-04-22,-81.0,-38.0,-58.0,-76.0,-65.0,28.0
1419,National,2020-04-23,-79.0,-34.0,-55.0,-76.0,-67.0,30.0
1420,National,2020-04-24,-79.0,-35.0,-58.0,-77.0,-66.0,33.0
1421,National,2020-04-25,-84.0,-43.0,-70.0,-76.0,-49.0,22.0
1422,National,2020-04-26,-83.0,-58.0,-68.0,-77.0,-43.0,16.0
1423,National,2020-04-27,-76.0,-36.0,-56.0,-76.0,-65.0,28.0
1424,National,2020-04-28,-77.0,-34.0,-60.0,-76.0,-65.0,28.0
1425,National,2020-04-29,-77.0,-32.0,-59.0,-75.0,-62.0,27.0
1426,National,2020-04-30,-73.0,-16.0,-61.0,-75.0,-64.0,28.0
1427,National,2020-05-01,-91.0,-87.0,-71.0,-87.0,-88.0,42.0
1428,National,2020-05-02,-78.0,-26.0,-72.0,-73.0,-46.0,21.0
1429,National,2020-05-03,-81.0,-56.0,-67.0,-76.0,-39.0,16.0
1430,National,2020-05-04,-70.0,-24.0,-49.0,-72.0,-60.0,26.0
1431,National,2020-05-05,-70.0,-23.0,-52.0,-71.0,-60.0,27.0
1432,National,2020-05-06,-72.0,-23.0,-49.0,-69.0,-57.0,24.0
1433,National,2020-05-07,-69.0,-12.0,-48.0,-70.0,-58.0,25.0
1434,National,2020-05-08,-83.0,-58.0,-57.0,-80.0,-82.0,38.0
1435,National,2020-05-09,-76.0,-27.0,-66.0,-70.0,-39.0,19.0
1436,National,2020-05-10,-79.0,-50.0,-72.0,-74.0,-33.0,15.0
1437,National,2020-05-11,-46.0,-10.0,-34.0,-56.0,-48.0,19.0
1438,National,2020-05-12,-45.0,-5.0,-15.0,-51.0,-47.0,18.0
1439,National,2020-05-13,-51.0,-10.0,-31.0,-53.0,-45.0,17.0
1440,National,2020-05-14,-49.0,-7.0,-23.0,-53.0,-46.0,17.0
1441,National,2020-05-15,-48.0,-8.0,-17.0,-52.0,-45.0,19.0
1442,National,2020-05-16,-51.0,-12.0,-13.0,-43.0,-20.0,9.0
1443,National,2020-05-17,-55.0,-17.0,8.0,-48.0,-10.0,5.0
1444,National,2020-05-18,-39.0,-6.0,8.0,-48.0,-44.0,16.0
1445,National,2020-05-19,-40.0,-2.0,11.0,-47.0,-43.0,16.0
1446,National,2020-05-20,-36.0,9.0,20.0,-45.0,-42.0,12.0
1447,National,2020-05-21,-56.0,-36.0,66.0,-61.0,-78.0,22.0
1448,National,2020-05-22,-39.0,1.0,12.0,-54.0,-57.0,20.0
1449,National,2020-05-23,-48.0,-14.0,-17.0,-47.0,-17.0,10.0
1450,National,2020-05-24,-49.0,-17.0,21.0,-43.0,-3.0,3.0
1451,National,2020-05-25,-34.0,-8.0,17.0,-46.0,-42.0,15.0
1452,National,2020-05-26,-35.0,-4.0,22.0,-44.0,-39.0,15.0
1453,National,2020-05-27,-38.0,-4.0,21.0,-43.0,-37.0,13.0
1454,National,2020-05-28,-38.0,-1.0,19.0,-44.0,-39.0,14.0
1455,National,2020-05-29,-37.0,0.0,14.0,-43.0,-38.0,15.0
1456,National,2020-05-30,-39.0,-2.0,23.0,-34.0,-5.0,5.0
1457,National,2020-05-31,-40.0,5.0,53.0,-38.0,7.0,2.0
1458,National,2020-06-01,-43.0,-36.0,78.0,-55.0,-72.0,20.0
1459,National,2020-06-02,-23.0,5.0,31.0,-34.0,-33.0,11.0
1460,National,2020-06-03,-29.0,0.0,9.0,-36.0,-32.0,11.0
1461,National,2020-06-04,-30.0,-1.0,-16.0,-40.0,-34.0,13.0
1462,National,2020-06-05,-26.0,-1.0,-7.0,-37.0,-33.0,13.0
1463,National,2020-06-06,-24.0,0.0,5.0,-27.0,-2.0,4.0
1464,National,2020-06-07,-23.0,2.0,3.0,-32.0,18.0,0.0
1465,National,2020-06-08,-21.0,-6.0,12.0,-36.0,-34.0,11.0
1466,National,2020-06-09,-22.0,-5.0,12.0,-35.0,-32.0,11.0
1467,National,2020-06-10,-25.0,-5.0,12.0,-34.0,-31.0,10.0
1468,National,2020-06-11,-25.0,-3.0,9.0,-35.0,-32.0,11.0
1469,National,2020-06-12,-25.0,-6.0,8.0,-34.0,-32.0,12.0
1470,National,2020-06-13,-27.0,-7.0,16.0,-25.0,1.0,4.0
1471,National,2020-06-14,-25.0,-3.0,41.0,-26.0,14.0,1.0
1472,National,2020-06-15,-18.0,-5.0,38.0,-32.0,-31.0,10.0
1473,National,2020-06-16,-17.0,-3.0,36.0,-28.0,-30.0,10.0
1474,National,2020-06-17,-22.0,-4.0,25.0,-30.0,-29.0,9.0
1475,National,2020-06-18,-19.0,-3.0,33.0,-30.0,-30.0,9.0
1476,National,2020-06-19,-17.0,-4.0,44.0,-27.0,-30.0,9.0
1477,National,2020-06-20,-21.0,-5.0,62.0,-18.0,3.0,1.0
1478,National,2020-06-21,-11.0,4.0,58.0,-18.0,20.0,-2.0
1479,National,2020-06-22,-13.0,-3.0,74.0,-26.0,-32.0,7.0
1480,National,2020-06-23,-12.0,0.0,85.0,-24.0,-30.0,7.0
1481,National,2020-06-24,-18.0,-3.0,83.0,-26.0,-27.0,6.0
1482,National,2020-06-25,-18.0,0.0,72.0,-25.0,-27.0,6.0
1483,National,2020-06-26,-17.0,-2.0,55.0,-23.0,-28.0,7.0
1484,National,2020-06-27,-21.0,-6.0,55.0,-16.0,-2.0,1.0
1485,National,2020-06-28,-13.0,5.0,57.0,-15.0,15.0,-1.0
1486,National,2020-06-29,-9.0,0.0,66.0,-25.0,-28.0,7.0
1487,National,2020-06-30,-7.0,2.0,71.0,-22.0,-26.0,6.0
1488,National,2020-07-01,-13.0,0.0,54.0,-23.0,-26.0,5.0
1489,National,2020-07-02,-9.0,6.0,59.0,-21.0,-27.0,6.0
1490,National,2020-07-03,-10.0,0.0,68.0,-18.0,-26.0,6.0
1491,National,2020-07-04,-18.0,-5.0,69.0,-7.0,-2.0,0.0
1492,National,2020-07-05,-8.0,9.0,82.0,-8.0,9.0,-2.0
1493,National,2020-07-06,-2.0,6.0,111.0,-20.0,-33.0,6.0
